pulls,frequency,percentage,cumulative_frequency,cumulative_probability
1,60118,0.6012,60118,0.6012
2,59830,0.5983,119948,1.1995
3,59228,0.5923,179176,1.7918
4,58853,0.5885,238029,2.3803
5,58076,0.5808,296105,2.961
6,58608,0.5861,354713,3.5471
7,57470,0.5747,412183,4.1218
8,57698,0.577,469881,4.6988
9,57193,0.5719,527074,5.2707
10,57071,0.5707,584145,5.8414
11,56698,0.567,640843,6.4084
12,56008,0.5601,696851,6.9685
13,56077,0.5608,752928,7.5293
14,55336,0.5534,808264,8.0826
15,55023,0.5502,863287,8.6329
16,55045,0.5504,918332,9.1833
17,54309,0.5431,972641,9.7264
18,53878,0.5388,1026519,10.2652
19,53761,0.5376,1080280,10.8028
20,53504,0.535,1133784,11.3378
21,53772,0.5377,1187556,11.8756
22,53264,0.5326,1240820,12.4082
23,52517,0.5252,1293337,12.9334
24,52429,0.5243,1345766,13.4577
25,52103,0.521,1397869,13.9787
26,51041,0.5104,1448910,14.4891
27,51236,0.5124,1500146,15.0015
28,50911,0.5091,1551057,15.5106
29,50630,0.5063,1601687,16.0169
30,50452,0.5045,1652139,16.5214
31,49887,0.4989,1702026,17.0203
32,49889,0.4989,1751915,17.5192
33,49545,0.4954,1801460,18.0146
34,49043,0.4904,1850503,18.505
35,49135,0.4914,1899638,18.9964
36,48877,0.4888,1948515,19.4852
37,48196,0.482,1996711,19.9671
38,47830,0.4783,2044541,20.4454
39,47937,0.4794,2092478,20.9248
40,47086,0.4709,2139564,21.3956
41,47445,0.4744,2187009,21.8701
42,46769,0.4677,2233778,22.3378
43,46725,0.4672,2280503,22.805
44,46124,0.4612,2326627,23.2663
45,46075,0.4607,2372702,23.727
46,45650,0.4565,2418352,24.1835
47,45706,0.4571,2464058,24.6406
48,45063,0.4506,2509121,25.0912
49,45102,0.451,2554223,25.5422
50,44762,0.4476,2598985,25.9898
51,44357,0.4436,2643342,26.4334
52,44218,0.4422,2687560,26.8756
53,43781,0.4378,2731341,27.3134
54,44040,0.4404,2775381,27.7538
55,43244,0.4324,2818625,28.1862
56,42999,0.43,2861624,28.6162
57,42744,0.4274,2904368,29.0437
58,42838,0.4284,2947206,29.4721
59,42234,0.4223,2989440,29.8944
60,41830,0.4183,3031270,30.3127
61,42149,0.4215,3073419,30.7342
62,41669,0.4167,3115088,31.1509
63,41192,0.4119,3156280,31.5628
64,40526,0.4053,3196806,31.9681
65,40933,0.4093,3237739,32.3774
66,40626,0.4063,3278365,32.7836
67,40543,0.4054,3318908,33.1891
68,39892,0.3989,3358800,33.588
69,39832,0.3983,3398632,33.9863
70,39553,0.3955,3438185,34.3818
71,39354,0.3935,3477539,34.7754
72,38985,0.3899,3516524,35.1652
73,39158,0.3916,3555682,35.5568
74,438636,4.3864,3994318,39.9432
75,778994,7.7899,4773312,47.7331
76,1004130,10.0413,5777442,57.7744
77,1073151,10.7315,6850593,68.5059
78,995605,9.956,7846198,78.462
79,813512,8.1351,8659710,86.5971
80,590083,5.9008,9249793,92.4979
81,376876,3.7688,9626669,96.2667
82,211294,2.1129,9837963,98.3796
83,101587,1.0159,9939550,99.3955
84,41697,0.417,9981247,99.8125
85,14013,0.1401,9995260,99.9526
86,3865,0.0387,9999125,99.9912
87,753,0.0075,9999878,99.9988
88,115,0.0012,9999993,99.9999
89,7,0.0001,10000000,100.0
90,0,0.0,10000000,100.0
